Mods count: 382
 
jar name                                                                     | mod id (isMCreator)                                          | mixin configs
    /META-INF/jars/models-2.3.13+1.20.1.jar                                  | porting_lib_models                                           | porting_lib_models.mixins.json
        /META-INF/jars/porting_lib_model_loader-2.3.13+1.20.1.jar            | porting_lib_model_loader                                     | porting_lib_model_loader.mixins.json
        /META-INF/jars/porting_lib_fluids-2.3.13+1.20.1.jar                  | porting_lib_fluids                                           | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
        /META-INF/jars/porting_lib_transfer-2.3.13+1.20.1.jar                | porting_lib_transfer                                         | porting_lib_transfer.mixins.json
    /META-INF/jars/networking-2.3.13+1.20.1.jar                              | porting_lib_networking                                       | 
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
    /META-INF/jars/obj_loader-2.3.13+1.20.1.jar                              | porting_lib_obj_loader                                       | 
        /META-INF/jars/porting_lib_model_loader-2.3.13+1.20.1.jar            | porting_lib_model_loader                                     | porting_lib_model_loader.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                         | reach-entity-attributes                                      | mixins.reach-entity-attributes.json
    /META-INF/jars/tags-2.3.13+1.20.1.jar                                    | porting_lib_tags                                             | porting_lib_tags.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
    /META-INF/jars/toml-3.6.3.jar                                            | com_electronwill_night-config_toml                           | 
    /META-INF/jars/tool_actions-2.3.13+1.20.1.jar                            | porting_lib_tool_actions                                     | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
    /META-INF/jars/transfer-2.3.13+1.20.1.jar                                | porting_lib_transfer                                         | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_fluids-2.3.13+1.20.1.jar                  | porting_lib_fluids                                           | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
create-food-1.20.1-1.1.13-fabric.jar                                         | createfood                                                   | createfood.mixins.json
create_repair-fabric-1.20.1-1.2.1.jar                                        | create_repair                                                | mixins.create_repair.json
    /META-INF/jars/attributes-2.3.16+1.20.1.jar                              | porting_lib_attributes                                       | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_core-2.3.16+1.20.1.jar                    | porting_lib_core                                             | 
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                     | reach-entity-attributes                                      | mixins.reach-entity-attributes.json
create_ultimate_factory-2.1.0-fabric-1.20.1.jar                              | create_ultimate_factory                                      | 
createaddition-fabric+1.20.1-1.3.4.jar                                       | createaddition                                               | createaddition.mixins.json
    /META-INF/jars/energy-2.3.0.jar                                          | team_reborn_energy                                           | 
CreateBetterFps-1.1.2.jar                                                    | createbetterfps                                              | createbetterfps.mixins.json
